Stoned Builds Change Log					
"*This log was created on 2016-03-03, so entries listed before then might be inaccurate or have missing info"					
"*(2016-07-29) And it doesn't always get updated on a regular basis, so any entry could have inaccurate or missing info"					
					
Build	Date	State	Issues Fixed	Major Changes	
0_00	2015-12-21	Funny		Initial Build	
0_01	2015-12-20	Playable		"Added floating blocks, weight switches, repulser orbs, simple background, teleport range, zooming function; Removed rotation on camera"	
0_02	2015-12-21	Playable		Added zoom in and out range limit; Fixed infinite air-port bug; Changed how the float cubes work	
0_03	2015-12-21	Playable		"Changed how the float cubes work, where the beginning position is (temporarily)"	
0_04	2015-12-21	Playable		Added the third puzzle platform to the test level	
0_04a	2015-12-22	Playable		Changed how the float cubes work	
0_04b	2015-12-31	Playable		Added the ESC button command to close	
0_05	2015-12-31	Playable		Added out-of-bounds fix: objects out of bounds appear in the center of the level	
0_06	2015-12-31	Playable		"Added icon, settings window banner, teleport sound effect, music (Wind Wolf's ""Sunny Day"")"	
0_07	2016-01-01	Playable		Added forgiveness: it will still teleport even if you click out of range	
0_08	2016-01-02	Playable			
0_09	2016-01-04	Playable		Added Merky	
0_10	2016-01-04	Unplayable		Switched out the test level for the first version of the first tutorial level	
0_11	2016-01-05	Unplayable		Added some blocks to the first tutorial level	
0_12	2016-01-08	Unplayable		Limited Merky's number of air-ports	
0_13a	2016-01-12	Unplayable		"Added spikes, content to first tutorial level"	
0_14	2016-01-17	Unplayable		Improved first tutorial level; Changed spike pit to be deeper	
0_15	2016-01-18	Unplayable		Added fog	
0_15a	2016-01-18	Unplayable			
0_16	2016-01-23	Playable		"Added ramps, finished initial version of tutorial level"	
0_17	2016-01-25	Playable		Fixed wall telefragging bug	
0_18	2016-01-27	Playable		"Added light beams, lanterns, cave wall background"	
0_19	2016-02-08	Playable		Added forgiveness: it will try to teleport to a valid location if you click on an invalid location	
0_20	2016-02-15	Funny		"Changed Merky's pixel-to-units scale, which made him really small"	
0_21	2016-03-02	Unplayable		Switched out the tutorial level for a new level	
0_21a	2016-03-02	Funny		Shrunk the first tutorial level (temporarily)	
0_22	2016-03-03	Unplayable		Changed the teleport streak to a teleport star	
0_23	2016-03-04	Unplayable		Added some ground to the second tutorial level	
0_24	2016-03-06	Playable		Added some ground to the second tutorial level	
0_25	2016-03-12	Playable		Finished the layout of the second tutorial level	
0_26	2016-03-13	Playable		Removed Teleport XP and fixed the tutorial level to match	
0_27	2016-03-16	Playable		Added secret areas	
0_28	2016-03-17	Playable		"Improved secret areas, added milestones"	
0_29	2016-03-18	Playable		"Added trees, grass, and hills"	
0_30	2016-03-22	Playable		"Improved tutorial level, added gravity immunity, fixed camera-losing-focus-of-Merky issue"	
0_31	2016-03-24	Unplayable		Allowed the camera to be moved	
0_32	2016-03-25	Playable		Fixed camera controlling issues	
0_32a	2016-03-25	Funny		"Changed the level out, added force teleport on every teleport"	
0_33	2016-03-28	Funny		Refactored the gesture processing system	
0_33a	2016-03-28	Playable		"Added more boulders, updated the first tutorial scene to accommodate the new gesture processing system"	
					
					
0_35a	2016-04-04	Playable		"Nothing (yet), just testing to make sure the build works with new version of Unity"	
					
					
0_37	2016-04-07	Playable		"Added more to the force teleport tutorial level, improved cracked ground"	
0_38	2016-04-12	Unplayable		"Added more to the force teleport tutorial level, messed with float cube controllers"	
					
					
					
0_42	2016-04-25	Playable		Added particle effects to the float cubes	
0_43	2016-04-26	Playable		Cracked ground now splits into rubble	
0_44	2016-05-02	Playable		"Added particle effects to weight switches, Added 3-tap cheat code"	
					
0_46	2016-07-26	UnPlayable		Combined the two levels together	
0_47	2016-07-27	Playable		Fixed what broke in force teleport level from the last version	
0_48	2016-07-28	Playable		Cracked ground rubble disappears	
0_49	2016-07-29	Playable		"Fixed unwinnable conditions in force teleport level, Added boulder friends"	
0_50	2016-08-01	UnPlayable		Terrain'd half of the force teleport level	
0_51	2016-08-05	Playable		Terrain'd the other half of the force teleport level	
0_52	2016-08-16	Playable		"Added cracked ground back in, decorated force teleport level"	
0_53					
0_54					
0_55					
0_56					
0_57					
0_58					
0_59					
0_60					
0_61					
0_62					
0_63					
0_64					
0_65					
0_66					
0_67					
0_68					
0_69					
0_70					
0_71					
0_72					
0_73					
0_74					
0_75					
0_76					
0_77					
0_78					
0_79	2016-12-06	Playable		The checkpoint ghosts show the checkpoint's environment and not just the checkpoint's sprite	
0_80	2016-12-13	Playable	"61, 65"	The checkpoint ghosts show correctly between sessions and at start of sessions	
0_81	2016-12-20	Playable	"62, 63"	The checkpoint ghosts now wave around and are circular	
0_81a	2016-12-20	Funny		"The force teleport scene has its own gravity implemented, but with several bugs (this one is in the same folder as 0_81)"	
					
					
0_84	2017-01-04	Playable	"81, 82, 85"	Fixed several bugs with the gravity shift	
0_85	2017-01-06	Playable	71	Patched float cubes and made force teleport level beatable	
0_85a	2017-01-06	Playable		"FIRST DEMO BUILD: now save files have optional date/time stamps and game optionally doesn't load on open, plus exit sign added for easy exiting"	
0_86	2017-01-10	Playable	"80, 84"	"Camera rotation on gravity shift, Merky ground detection rotates with gravity shift"	
0_87	2017-01-17	Playable	89	Added Shield Bubble ability	
0_88	2017-01-18	Playable	98	Shields now get saved	
0_89	2017-01-19	Playable	"93, 99, 103"	"Shield milestone added, Shields delete when time rewinds"	
0_90	2017-01-24	Playable	"104, 105,106"	"Added Power Cube and Powered Door, Shield Bubble powers Power Cube"	
0_91	2017-01-26	Playable	108	"Constructed a small Shield Bubble Intro level, force wave damages shield bubble"	
0_92	2017-01-30	Playable	"15, 94, 112"	"Patched out Shield Bubble Towers and Bridges, corrected range indicator sizes"	
0_93	2017-01-31	Playable	"77, 92, 107, 111, 113, 114"	"Shields don’t mess up powered doors, Shield Bubble sounds and looks better, other bug fixes"	
0_94	2017-02-07	Playable	119	"Camera scaling is based on base range instead of range, Going back in time no longer causes powered wall to lose a RB2DLock (tho closing/opening does)"	
					
					
0_97	2017-02-21	Playable	"110, 123, 127, 128"	Finished teleport spot finding system upgrades	
0_98	2017-02-22	Playable	"129, 130, 132"	"Smoothed camera movement, Time rewind can tap to cancel, time rewind chooses previous one if current one overlaps it"	
					
0_100	2017-02-28	Playable	136	"Added the wall jump level, adjusted several other things"	
					
					
					
0-104	2017-03-08	Playable	158	"Added particle effects to Force Wave and Shield Bubble, Force Wave no longer teleports"	
					
					
					
					
					
0_110	2017-03-16	Playable	"131, 178"	"Terrained the Stonicorn Nestling Grounds, fixed the Time Rewind bug"	
0_111					
0_112					
0_113					
0_114					
0_115					
0_116					
0_117					
0_118					
0_119					
0_120					
0_121					
0_122					
0_123					
0_124					
0_125					
0_126					
0_127					
0_128					
0_129					
0_130					
0_131					
0_132					
0_133					
0_134					
0_135					
0_136					
0_137					
0_138					
0_139					
0_140					
0_141					
0_142	2017-06-14	Playable		"Added hay, ability gain effect, tree covers, fixed the last CP in the desert area"	
0_143					
0_144					
0_145					
0_146					
0_147					
0_148					
0_149					
0_150					
0_151					
0_152					
0_153					
0_154					
0_155					
0_156					
0_157					
0_158					
0_159					
0_160					
0_161					
0_162					
0_163					
0_164					
0_165					
0_166					
0_167					
0_168					
0_169					
0_170					
0_171					
0_172					
0_173					
0_174					
0_175					
0_176					
0_177					
0_178					
0_179					
0_180					
0_181					
0_182					
0_183					
0_184					
0_185					
0_186					
0_187					
0_188					
0_189					
0_190					
0_191					
0_192					
0_193					
0_194					
0_195					
0_196					
0_197					
0_198					
0_199					
0_200					
0_201					
0_202					
0_203					
0_204					
0_205					
0_206					
0_207					
0_208					
0_209					
0_210					
0_211					
0_212					
0_213					
0_214					
0_215					
0_216					
0_217					
0_218					
0_219					
0_220					
0_221	2018-02-12	Playable		Added the Swap Ability	
0_222					
0_223					
0_224	2018-02-15	Playable		Added the Air Slice Ability	
0_225					
0_226					
0_227	2018-02-19	Playable	382	Added sticky pads to the Wall Jump Ability	
0_228					
0_229					
0_230					
0_231					
0_232	2018-03-05	Unplayable	"384, 389"	Fixed time rewind bugs with the StickyPads	
0_233	2018-03-06	Unplayable			
0_234	2018-03-07	Unplayable	383	Force Charge gains no charge on first teleport	
0_235					
0_236					
0_237					
0_238					
0_239					
0_240					
0_241	2018-03-15	Playable	397	Upgraded the diamond sprites	
0_242	2018-03-22	Unplayable		New improvements for Force Charge & Electric Field	
0_243					
0_244	2018-04-12	Playable		Added new Time Rewind tutorial visuals	
0_245					
0_246					
0_247	2018-04-23	Unplayable		Added camera auto offset	
0_248					
0_249					
